keys,zh_CN,en
SIAMESE_CHESS,"暹罗猫象棋","SiameseChess"
PIECE_KING,"王","King"
PIECE_QUEEN,"后","Queen"
PIECE_ROOK,"车","Rook"
PIECE_BISHOP,"象","Bishop"
PIECE_KNIGHT,"马","Knight"
PIECE_PAWN,"兵","Pawn"
CHAR_LOTUS,"莲","Lotus"
CHAR_YULAN,"玉兰","Yulan"
CHAR_CARNATION,"康乃馨","Carnation"
SELECTION_GOTO,"前往","Go there"
SELECTION_GOTO?,"前往？","Go there?"
SELECTION_STATUS,"状态","Status"
SELECTION_PIECES,"棋子","Pieces"
SELECTION_REMOVE_PIECE,"移除","Remove"
SELECTION_DOCUMENTS,"文档","Documents"
SELECTION_CAMERA,"相机","Camera"
SELECTION_SETTINGS,"设置","Settings"
SELECTION_CANCEL,"取消","Cancel"
SELECTION_RESIGN,"认输","Resign"
SELECTION_PLAY_AS_WHITE,"执白","Play as White"
SELECTION_PLAY_AS_BLACK,"执黑","Play as Black"
SELECTION_PLAY_AS_RANDOM,"随机","Random"
SELECTION_LEAVE_GAME,"离开对局","Leave game"
SELECTION_TAKE_BACK,"悔棋","Take back"
HINT_STATUS,"金钱：%d  赢局：%d","Cash: %d  Wins: %d"
HINT_EXTRA_MOVE,"选择一个着法","Select a move."
HINT_USE_PIECE,"选择一颗棋子","Select a piece."
HINT_SELECT_SQUARE,"选择一格位置","Select a square."
HINT_ENEMY_SPOTTED,"他们看到你了！","They found you!"
HINT_YOUR_TURN,"轮到你了！", "It's your turn!"
HINT_TAKE_BACKED,"已回退","Take backed"
HINT_YOU_WIN,"你赢了!","You win!"
HINT_YOU_LOSE,"你输了!","You lose!"
HINT_DRAW,"平局","Draw game"
HINT_WHITE_CHECKMATE,"白方将杀胜利","White checkmate"
HINT_BLACK_CHECKMATE,"黑方将杀胜利","Black checkmate"
HINT_GET_PIECE,"你获得了一颗棋子","You got a piece!"
HINT_GET_PIECE_FIRST_TIME,"在“棋子”页面中使用这颗棋子","Grab it at 'Pieces' option."
HINT_ADD_PIECE,"添加棋子","Place a piece"
HINT_CANT_LEAVE,"还不能离开。","Can't leave now."
TITLE_SETTINGS,"设置","Settings"
TITLE_CONCLUDE,"游戏结束","Game Over"
SETTINGS_TAB_GAME,"游戏机制","Game Mechanics"
SETTINGS_TAB_VIDEO,"视觉","Video"
SETTINGS_TAB_ACCESSIBILITY,"辅助","Accessibility"
SETTINGS_TAB_MEMORY,"记忆","Memory"
SETTINGS_RESOLUTION,"分辨率","Resolution"
SETTINGS_FULLSCREEN,"全屏","Fullscreen"
SETTINGS_FPS,"帧率","Frame Per Seconds"
SETTINGS_FPS_10,"10帧/秒","10FPS"
SETTINGS_FPS_30,"30帧/秒","30FPS"
SETTINGS_FPS_60,"60帧/秒","60FPS"
SETTINGS_FPS_90,"90帧/秒","90FPS"
SETTINGS_FPS_120,"120帧/秒","120FPS"
SETTINGS_FPS_144,"144帧/秒","144FPS"
SETTINGS_FPS_UNLIMITED,"无限制","Unlimited"
SETTINGS_VSYNC,"垂直同步","Vertical Synchronization"
SETTINGS_LANGUAGE,"语言/Language","Language"
SETTINGS_RELAX,"手下留情？","Mercy?"
SETTINGS_RELAX_EXPLAIN,"推荐没系统学习过象棋的人，且感谢游玩尝试！引擎不会通过深层战术挫败您，相对于标准难度，您有更多机会实施棋局中的强制战术。然而引擎仍然会惩罚您的漏着，请谨慎落子。","For players who haven't learn to play chess before and thank you for playing! The chess engine won't frustrate you with its deep tactics. You have more chance to find out the tactics compare to standard difficulty. However, engine still can punish your blunder, so be careful!"
SETTINGS_CLEAR_CHESS_MEMORY,"清除国际象棋记忆","Clear chess memory"
SETTINGS_CLEAR_XIANGQI_MEMORY,"清除中国象棋记忆","Clear Xiangqi memory"
SETTINGS_CLEAR_MEMORY_BUTTON,"清除","Clear"
SETTINGS_CLEAR_CHESS_MEMORY_SUCCESS,"国际象棋记忆已清空","Chess memory cleared"
SETTINGS_CLEAR_CHESS_MEMORY_FAILED,"清除国际象棋记忆失败","Failed to clear chess memory"
SETTINGS_CLEAR_XIANGQI_MEMORY_SUCCESS,"中国象棋记忆已清空","Xiangqi memory cleared"
SETTINGS_CLEAR_XIANGQI_MEMORY_FAILED,"清除中国象棋记忆失败","Failed to clear Xiangqi memory"
TRAIN_CARRIAGE_PLAY_CHESS,"下棋","Play Chess"
YULAN_INTERACT_PLAY_CHESS,"下棋？","Play Chess?"
YULAN_INTERACT_CUSTOM_POSITION,"自定义布局","Custom position"
YULAN_INTERACT_API_KEY,"API密钥","API Key"
RADIO_MUSIC_TITLE,"音响","Radio"
RADIO_MUSIC_INTERACT_SETTING,"设置音响","Set radio"
RADIO_MUSIC_OPTION_PREVIOUS,"上一首","Previous"
RADIO_MUSIC_OPTION_NEXT,"下一首","Next"
RADIO_MUSIC_OPTION_VOLUME_HIGH,"音量：高","Volume: High"
RADIO_MUSIC_OPTION_VOLUME_MEDIUM,"音量：中","Volume: Medium"
RADIO_MUSIC_OPTION_VOLUME_LOW,"音量：低","Volume: Low"
RADIO_MUSIC_OPTION_PLAY,"打开音响","Turn radio on"
RADIO_MUSIC_OPTION_STOP,"关闭音响","Turn radio off"
RADIO_MUSIC_OPTION_EXIT,"离开音响","Leave radio"
RADIO_MUSIC_VOLUME_HIGH,"高","High"
RADIO_MUSIC_VOLUME_MEDIUM,"中","Medium"
RADIO_MUSIC_VOLUME_LOW,"低","Low"
RADIO_MUSIC_NO_TRACK,"无可播放音乐","No music available"
RADIO_MUSIC_STATUS_STOPPED,"音响已关闭","Radio is off"
RADIO_MUSIC_STATUS_PLAYING,"当前正在播放：%s","Now playing: %s"
RADIO_MUSIC_STATUS_VOLUME,"音量：%s","Volume: %s"
CARNATION_TALK,"对话","Talk"
CARNATION_TALK_0_0,"这片区域中，有块石头看起来挡住了去路。","In this place, there is a stone that seemly blocking the way."
CARNATION_TALK_0_1,"与其移走它，不如试着侧身而过？","Instead of moving it always, have you tried passing sideways through it?"
CARNATION_TALK_1_0,"您有遇到过玉兰吗？","Have you ever met Yulan?"
CARNATION_TALK_1_1,"如果您对象棋不太熟练的话，或许您可以找他精进一下你的棋艺。","If you are not skillful with chess, maybe he can help."
DOCUMENT_TITLE_MENU,"咖啡厅菜单","Cafe menu"
DOCUMENT_TITLE_CHESS_MOVEMENT,"有关棋子的移动","About piece movement"
TITLE_START_MENU,"选择关卡","Select Game"
GAME_MODE_CHESS,"国际象棋","Chess"
GAME_MODE_XIANGQI,"中国象棋","Xiangqi"
UI_CLOSE,"关闭","Close"
UI_BACK,"返回","Back"
UI_SAVE,"保存","Save"
UI_CLEAR,"清空","Clear"
INPUT_PROMPT,"请输入：","Input:"
SELECTION_RETURN_START_MENU,"返回开始界面","Return to start menu"
XIANGQI_SELECTION_PLAY_AS_RED,"执红","Play as Red"
XIANGQI_SELECTION_PLAY_AS_BLACK,"执黑","Play as Black"
SELECTION_DIFFICULTY_STANDARD,"标准难度","Standard"
SELECTION_DIFFICULTY_RELAX,"手下留情","Mercy"
SIDE_RED,"红方","Red"
SIDE_BLACK,"黑方","Black"
SIDE_WHITE,"白方","White"
GAME_RESULT_RED_WIN,"红胜","Red wins"
GAME_RESULT_BLACK_WIN,"黑胜","Black wins"
GAME_RESULT_WHITE_WIN,"白胜","White wins"
